Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Fuori scopo,97,Tue Dec 19 17:21:05 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,98,Tue Dec 19 17:21:06 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,99,Tue Dec 19 17:21:09 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,100,Tue Dec 19 17:21:09 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,101,Tue Dec 19 17:21:10 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,102,Tue Dec 19 17:21:10 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,103,Tue Dec 19 17:21:13 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,104,Tue Dec 19 17:21:13 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,105,Tue Dec 19 17:21:14 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,106,Tue Dec 19 17:21:15 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,107,Tue Dec 19 17:21:18 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,108,Tue Dec 19 17:21:18 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,109,Tue Dec 19 17:21:19 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,110,Tue Dec 19 17:21:19 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,111,Tue Dec 19 17:21:22 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,112,Tue Dec 19 17:21:22 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,113,Tue Dec 19 17:21:23 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,114,Tue Dec 19 17:21:23 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,115,Tue Dec 19 17:21:26 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,116,Tue Dec 19 17:21:26 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,117,Tue Dec 19 17:21:27 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,118,Tue Dec 19 17:21:27 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
